0.02867885,-0.00085511,-0.00070002,-0.00116221,-0.00103579,-0.00145972,-0.00083261,-0.00107083,-0.00144777,-0.00022317,0.00080027,-0.00114447,-0.00203157,-0.00057581,-0.0027213,-0.00091721,-0.00219697,-0.0029243
-0.00085511,0.01875315,0.00023948,5.948e-05,0.00032195,0.00046301,0.00037166,0.00033677,0.0005565,0.00015578,-0.00033168,-3.393e-05,0.00033013,0.00014898,0.00018793,6.55e-06,0.00043447,0.00058113
-0.00070002,0.00023948,0.01108557,0.00065734,0.00035556,0.00042865,0.00029497,0.00039959,0.00056305,0.00016618,-0.00037273,0.00010089,0.00030351,3.926e-05,0.00023895,-0.00013122,0.00038174,0.00046159
-0.00116221,5.948e-05,0.00065734,0.01781651,0.00073734,0.00093168,0.00061823,0.00081023,0.00118473,0.00026523,-0.00084624,0.00014354,0.0006138,4.868e-05,0.00047106,-0.00019148,0.00102884,0.00133318
-0.00103579,0.00032195,0.00035556,0.00073734,0.0408834,0.00095272,0.0005932,0.00048358,0.00100007,-4.114e-05,-0.00049699,0.00121506,0.00206269,0.0004922,0.00287574,0.00118823,0.00251372,0.00317773
-0.00145972,0.00046301,0.00042865,0.00093168,0.00095272,0.01944204,0.00094686,0.00099224,0.0011608,0.00010729,-0.00038756,0.00143313,0.00231973,0.00047672,0.00320363,0.00143684,0.00234365,0.0029283
-0.00083261,0.00037166,0.00029497,0.00061823,0.0005932,0.00094686,0.01442472,0.00060514,0.00082512,0.00021172,-0.00027183,4.689e-05,0.0008422,0.00036566,0.0007625,0.00038003,0.0009572,0.00120353
-0.00107083,0.00033677,0.00039959,0.00081023,0.00048358,0.00099224,0.00060514,0.01470567,0.00085074,0.00018937,-0.00037864,0.00059396,0.00111716,0.00026439,0.00137283,0.00049365,0.00116477,0.00145264
-0.00144777,0.0005565,0.00056305,0.00118473,0.00100007,0.0011608,0.00082512,0.00085074,0.01998697,0.00028017,-0.00072311,0.00029854,0.00110966,0.00035549,0.00102924,0.00032246,0.0015835,0.00216986
-0.00022317,0.00015578,0.00016618,0.00026523,-4.114e-05,0.00010729,0.00021172,0.00018937,0.00028017,0.01246129,0.00027249,-0.00041593,-0.00068513,-7.03e-05,-0.00148359,-0.00068439,-0.00062639,-0.00066421
0.00080027,-0.00033168,-0.00037273,-0.00084624,-0.00049699,-0.00038756,-0.00027183,-0.00037864,-0.00072311,0.00027249,0.03919134,0.00051369,-0.00049617,-0.00029045,-0.00048254,-4.83e-06,-0.00090838,-0.00113039
-0.00114447,-3.393e-05,0.00010089,0.00014354,0.00121506,0.00143313,4.689e-05,0.00059396,0.00029854,-0.00041593,0.00051369,0.04462307,0.00473219,-0.00058106,0.00861669,0.00372543,0.00451555,0.00559927
-0.00203157,0.00033013,0.00030351,0.0006138,0.00206269,0.00231973,0.0008422,0.00111716,0.00110966,-0.00068513,-0.00049617,0.00473219,0.07026589,0.00165099,0.01010037,0.00502512,0.0062862,0.00748783
-0.00057581,0.00014898,3.926e-05,4.868e-05,0.0004922,0.00047672,0.00036566,0.00026439,0.00035549,-7.03e-05,-0.00029045,-0.00058106,0.00165099,0.03810166,0.00163017,0.00150874,0.00176671,0.00195344
-0.0027213,0.00018793,0.00023895,0.00047106,0.00287574,0.00320363,0.0007625,0.00137283,0.00102924,-0.00148359,-0.00048254,0.00861669,0.01010037,0.00163017,0.07689759,0.00788642,0.00941229,0.01128555
-0.00091721,6.55e-06,-0.00013122,-0.00019148,0.00118823,0.00143684,0.00038003,0.00049365,0.00032246,-0.00068439,-4.83e-06,0.00372543,0.00502512,0.00150874,0.00788642,0.04157373,0.00490226,0.00588703
-0.00219697,0.00043447,0.00038174,0.00102884,0.00251372,0.00234365,0.0009572,0.00116477,0.0015835,-0.00062639,-0.00090838,0.00451555,0.0062862,0.00176671,0.00941229,0.00490226,0.06742823,0.00875111
-0.0029243,0.00058113,0.00046159,0.00133318,0.00317773,0.0029283,0.00120353,0.00145264,0.00216986,-0.00066421,-0.00113039,0.00559927,0.00748783,0.00195344,0.01128555,0.00588703,0.00875111,0.04499005
