name,aperture_m,focal_length_m,notes
Keck I/II,10.0,17.5,
Hubble Space Telescope,2.4,57.6,
ESO Very Large Telescope (UT),8.2,120.0,
James Webb Space Telescope,6.5,131.4,
Gemini North,8.1,,
amateur reflector,0.2,,
