star,mass_Msun,radius_Rsun,luminosity_Lsun,Teff_K,spectral_type
Alpha Centauri A (Rigil Kentaurus),1.0788,1.223,1.5059,5748.0,G2V
Alpha Centauri B (Toliman),0.9092,0.864,0.4981,5154.0,K1V
