x,density
0.00390625,0.9999999998791136
0.01171875,0.9999999996486915
0.01953125,0.9999999990059383
0.02734375,0.9999999972615999
0.03515625,0.9999999926568743
0.04296875,0.9999999808352813
0.05078125,0.999999951326396
0.05859375,0.9999998797233293
0.06640625,0.9999997108731865
0.07421875,0.9999993240236915
0.08203125,0.9999984631819955
0.08984375,0.999996603219113
0.09765625,0.9999927026109275
0.10546875,0.9999847658712645
0.11328125,0.999969103594391
0.12109375,0.9999391411135226
0.12890625,0.9998836013638616
0.13671875,0.9997838971209054
0.14453125,0.9996106455287375
0.15234375,0.9993193992015202
0.16015625,0.998845993399713
0.16796875,0.9981023152935422
0.17578125,0.996973714888446
0.18359375,0.9953195220533124
0.19140625,0.9929779899318647
0.19921875,0.9897762867806063
0.20703125,0.9855449344568938
0.21484375,0.9801346594994058
0.22265625,0.9734325337405096
0.23046875,0.9653740787279392
0.23828125,0.9559489025749505
0.24609375,0.9451991285406804
0.25390625,0.9332116811433626
0.26171875,0.9201067335501335
0.26953125,0.906024955228505
0.27734375,0.8911157438523118
0.28515625,0.8755277669394517
0.29296875,0.8594022756953524
0.30078125,0.8428690272645526
0.30859375,0.8260443210599185
0.31640625,0.8090305627303159
0.32421875,0.7919168208995252
0.33203125,0.7747799547677626
0.33984375,0.757686012228074
0.34765625,0.7406917024614975
0.35546875,0.7238458259708048
0.36328125,0.7071905998713593
0.37109375,0.6907628517125732
0.37890625,0.6745950763999868
0.38671875,0.6587163623941756
0.39453125,0.6431531986272714
0.40234375,0.6279301748098556
0.41015625,0.6130705864874267
0.41796875,0.5985969532389047
0.42578125,0.584531454279369
0.43359375,0.5708962806734154
0.44140625,0.5577138974915821
0.44921875,0.545007202632872
0.45703125,0.5327995618546366
0.46484375,0.5211146921557184
0.47265625,0.5099763587314342
0.48046875,0.4994078453937832
0.48828125,0.4894311563145769
0.49609375,0.48006591046087804
0.50390625,0.47132790183171275
0.51171875,0.4632273212726977
0.51953125,0.4557666712403159
0.52734375,0.4489384536998037
0.53515625,0.44272277084410017
0.54296875,0.43708504235674944
0.55078125,0.4319741016948396
0.55859375,0.42732097505823596
0.56640625,0.42303865798993917
0.57421875,0.419023176471397
0.58203125,0.4151561477686663
0.58984375,0.4113089429855669
0.59765625,0.40734840503578346
0.60546875,0.40314390248026405
0.61328125,0.3985753139726519
0.62109375,0.3935413569147525
0.62890625,0.38796752165118736
0.63671875,0.38181278150293
0.64453125,0.3750742548499058
0.65234375,0.3677891262762312
0.66015625,0.36003339568067133
0.66796875,0.3519173912325979
0.67578125,0.3435783955414009
0.68359375,0.3351711155034488
0.69140625,0.32685699745576763
0.69921875,0.3187934973991365
0.70703125,0.3111243477852691
0.71484375,0.303971645597591
0.72265625,0.29743027812684447
0.73046875,0.2915648683905785
0.73828125,0.2864091146742772
0.74609375,0.2819671441665172
0.75390625,0.27821629107783113
0.76171875,0.2751105003112432
0.76953125,0.2725832601963867
0.77734375,0.270548430281513
0.78515625,0.2688962961875407
0.79296875,0.2674801735974758
0.80078125,0.2660877534195715
0.80859375,0.26438092607858005
0.81640625,0.2617937855332255
0.82421875,0.25738265337718924
0.83203125,0.249684379289064
0.83984375,0.23680650350791288
0.84765625,0.2172129650846543
0.85546875,0.19155942384061475
0.86328125,0.16455909772696706
0.87109375,0.1434655101672638
0.87890625,0.13185601711857386
0.88671875,0.12718615552990856
0.89453125,0.12564790151581912
0.90234375,0.12518644036011628
0.91015625,0.1250529885466758
0.91796875,0.12501495385902203
0.92578125,0.12500419516889266
0.93359375,0.12500116964807984
0.94140625,0.12500032385232918
0.94921875,0.1250000889658865
0.95703125,0.12500002422424167
0.96484375,0.12500000653097776
0.97265625,0.12500000174162681
0.98046875,0.1250000004589156
0.98828125,0.12500000011936419
0.99609375,0.1250000000306166
