cells,dx,relative_mass_error,density_l1_vs_512,density_min,density_max
32.0,0.03125,9.257055889240936e-06,0.030660105842267936,0.12623543150210773,0.9996019813109523
64.0,0.015625,1.6413205609448294e-09,0.02069378422248445,0.12500376529779156,0.9999976631572075
128.0,0.0078125,6.874500968478969e-13,0.012514024217019845,0.1250000000306166,0.9999999998791136
256.0,0.00390625,0.0,0.005208164943598348,0.125,1.0
