steps_per_earth_year,dt_day,duration_day,relative_energy_error,relative_angular_momentum_error,scaled_momentum_error
64.0,5.70703125,4383.0,8.558252802757145e-12,2.3522942885759107e-15,4.44206694981726e-17
128.0,2.853515625,4383.0,2.1314667456901816e-12,2.53324000308175e-15,4.3506582073436896e-18
256.0,1.4267578125,4383.0,5.332865026076842e-13,1.8094571450583928e-16,1.0611878262857131e-16
