steps_per_period,dt_day,period_day,relative_energy_error,relative_angular_momentum_error,endpoint_position_error_au
20.0,18.26284491920209,365.25689838404185,6.980276583581516e-16,3.8424188413642905e-16,9.43570464623183e-06
40.0,9.131422459601046,365.25689838404185,1.628731202835687e-15,1.0246450243638108e-15,9.435704672478823e-06
80.0,4.565711229800523,365.25689838404185,6.980276583581516e-16,2.561612560909527e-16,9.435704654665052e-06
160.0,2.2828556149002615,365.25689838404185,1.7450691458953791e-15,7.684837682728581e-16,9.435704608087043e-06
