phase,n_cm3,T_k,P_over_k_cm3K,filling_factor
Molecular clouds (H2),200.0,15.0,3000.0,0.0005
Cold neutral medium (CNM),30.0,80.0,2400.0,0.01
Warm neutral medium (WNM),0.3,8000.0,2400.0,0.35
Warm ionized medium (WIM),0.15,8000.0,1200.0,0.2
H II regions,100.0,10000.0,1000000.0,0.0005
Hot ionized medium (HIM),0.0035,500000.0,1750.0,0.43
